# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
11 Com b,,,,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,2008,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,Radial Velocity,11 Com,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19,2,2,,,,4742,100,100
11 Oph b,21,3,3,,,,,,,730000,365000,365000,243,55,55,,,,,,,2007,,,,,,,,,,,Imaging,11 Oph,145,20,20,,,,0.0162,0.005,0.005,,,,0.011,0.002,0.002,2375,175,175
11 UMi b,,,,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,2009,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,Radial Velocity,11 UMi,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,1.56,0.54,0.54,4340,70,70
14 And b,,,,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,,,,2008,,,,2452861.4,1.5,1.5,,,,,Radial Velocity,14 And,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11,1,1,,,,4813,20,20
14 Her b,,,,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,2002,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,Radial Velocity,14 Her,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,5.1,,,5311,87,87
14 Her c,5.8,1,1.4,,,,,,,6906,70,70,16.4,4.3,0.3,0.45,0.17,0.17,,,,2006,218,,,9100,,,,,,,Radial Velocity,14 Her,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,5.1,,,5311,87,87
16 Cyg B b,,,,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,1996,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,Radial Velocity,16 Cyg B,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,8,1.8,1.8,5766,60,60
17 Sco b,,,,4.32,0.12,0.15,,,,578.38,2,2,1.45,0.02,0.02,0.06,0.02,0.03,,,,2020,57.03,106.77,113.18,2453294.28,182.91,174.23,,,,,Radial Velocity,17 Sco,116,4.53,4.91,-0.01,0.1,0.1,1.22,0.14,0.14,25.92,0.74,0.78,5.13,1.33,2.12,4157,11,11
18 Del b,,,,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,2008,166.1,6.5,6.5,2451672,18,18,,,,,Radial Velocity,18 Del,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,,,,4979,18,18
1RXS 1609 b,14,3,2,,,,1.7,,,,,,330,0,0,,,,,,,2008,,,,,,,,,,4,Imaging,1RXS 1609,145,20,20,,,,0.73,0.05,0.05,1.35,,,0.011,0.002,0.002,4060,200,200
