  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.622   1.707   2.  -5.   3.    2.4932E-12
   1.603   1.672   2.  -5.   3.    2.7044E-12
   1.584   1.637   2.  -5.   3.    2.9457E-12
   1.564   1.603   2.  -5.   3.    3.2218E-12
   1.545   1.571   2.  -5.   3.    3.5408E-12
   1.526   1.540   2.  -5.   3.    3.9099E-12
   1.506   1.509   2.  -5.   3.    4.3395E-12
   1.486   1.480   2.  -5.   3.    4.8427E-12
   1.467   1.452   2.  -5.   3.    5.4360E-12
   1.447   1.424   2.  -5.   3.    6.1407E-12
   1.427   1.398   2.  -5.   3.    6.9840E-12
   1.406   1.372   2.  -5.   3.    8.0021E-12
   1.386   1.347   2.  -5.   3.    9.2428E-12
   1.366   1.322   2.  -5.   3.    1.0779E-11
   1.345   1.299   2.  -5.   3.    1.2700E-11
   1.325   1.276   2.  -5.   3.    1.5132E-11
   1.304   1.254   2.  -5.   3.    1.8262E-11
   1.283   1.232   2.  -5.   3.    2.2370E-11
   1.262   1.211   2.  -5.   3.    2.7862E-11
   1.241   1.191   2.  -5.   3.    3.5454E-11
