  P2/P1  P3/P2   k0   k1   k2    FGlobal
  1.249   1.707   5.  -8.   3.    3.8677E-12
  1.241   1.672   5.  -8.   3.    4.2502E-12
  1.233   1.637   5.  -8.   3.    4.6897E-12
  1.226   1.603   5.  -8.   3.    5.1968E-12
  1.218   1.571   5.  -8.   3.    5.7844E-12
  1.210   1.540   5.  -8.   3.    6.4687E-12
  1.202   1.509   5.  -8.   3.    7.2704E-12
  1.195   1.480   5.  -8.   3.    8.2152E-12
  1.187   1.452   5.  -8.   3.    9.3391E-12
  1.179   1.424   5.  -8.   3.    1.0685E-11
  1.171   1.398   5.  -8.   3.    1.2309E-11
  1.163   1.372   5.  -8.   3.    1.4286E-11
  1.154   1.347   5.  -8.   3.    1.6717E-11
  1.146   1.322   5.  -8.   3.    1.9741E-11
  1.138   1.299   5.  -8.   3.    2.3565E-11
  1.130   1.276   5.  -8.   3.    2.8467E-11
  1.121   1.254   5.  -8.   3.    3.4842E-11
  1.113   1.232   5.  -8.   3.    4.3293E-11
  1.105   1.211   5.  -8.   3.    5.4732E-11
  1.096   1.191   5.  -8.   3.    7.0643E-11
